Carrier,Column name,Exclude / Include,Column explanation
UPS - US,Version,Exclude,N/A
UPS - US,Recipient Number,Exclude,N/A
UPS - US,Account Number,Exclude,N/A
UPS - US,Account Country,Exclude,N/A
UPS - US,Invoice Date,Include,Self explanatory
UPS - US,Invoice Number,Include,Self explanatory
UPS - US,Invoice Type Code,Exclude,N/A
UPS - US,Invoice Type Detail Code,Exclude,N/A
UPS - US,Account Tax ID,Exclude,N/A
UPS - US,Invoice Currency Code,Include,Self explanatory
UPS - US,Invoice Amount,Include,Total amount of invoice
UPS - US,Transaction Date,Include,Pickup date as per UPS
UPS - US,Pickup Record Number,Exclude,N/A
UPS - US,Lead Shipment Number,Include,"Combine columns ""Lead shipment number"" and ""Tracking Number"" and show as ""Tracking number""

Use as a backup when ""tracking number"" column is empty. So, always refer to ""tracking number"" column as the core column to fill tracking number and then fill the blanks with ""lead shipment number"" column"
UPS - US,World Ease Number,Exclude,N/A
UPS - US,Shipment Reference Number 1,Include,"Combine columns ""Shipment Reference Number 1"" and ""Shipment Reference Number 2"" and show as ""Shipment Reference Number""

Use ""Shipment Reference Number 1"" as core column for shipment reference number, if blank fallback to ""shipment reference number 2"" column"
UPS - US,Shipment Reference Number 2,Include,"Combine columns ""Shipment Reference Number 1"" and ""Shipment Reference Number 2"" and show as ""Shipment Reference Number""

Use ""Shipment Reference Number 1"" as core column for shipment reference number, if blank fallback to ""shipment reference number 2"" column"
UPS - US,Bill Option Code,Exclude,N/A
UPS - US,Package Quantity,Exclude,N/A
UPS - US,Oversize Quantity,Exclude,N/A
UPS - US,Tracking Number,Include,"Combine columns ""Lead shipment number"" and ""Tracking Number"" and show as ""Tracking number""

Use as a backup when ""tracking number"" column is empty. So, always refer to ""tracking number"" column as the core column to fill tracking number and then fill the blanks with ""lead shipment number"" column"
UPS - US,Package Reference Number 1,Exclude,N/A
UPS - US,Package Reference Number 2,Exclude,N/A
UPS - US,Package Reference Number 3,Exclude,N/A
UPS - US,Package Reference Number 4,Exclude,N/A
UPS - US,Package Reference Number 5,Exclude,N/A
UPS - US,Entered Weight,Include,Weight provided by buycycle while booking the shipment
UPS - US,Entered Weight Unit of Measure,Include,Weight measure by buycycle while booking the shipment
UPS - US,Billed Weight,Include,Billed weight provided by UPS
UPS - US,Billed Weight Unit of Measure,Include,Billed weight measure provided by UPS
UPS - US,Container Type,Exclude,N/A
UPS - US,Billed Weight Type,Include,"the final, calculated weight used by UPS to determine shipping charges"
