Shipment type,Carrier,Service type,Logic,Sample invoices shared,Ingestion status,Historical data ingested?,Booking creation date logic provided?,Source of invoice to Mello,Additional comments,Columns explained?,Invoice types - such as shipping / credit notes / surcharges / correction etc
Bike,Cargoboard,,Line item level ingestion (normal flow),Yes,Done,Ask,Yes,Portal access,Some were found that they were not ingested so Mello will double check,,
Bike,Eurosender (fedex),,Line item level ingestion (normal flow),No,Done,Yes,Yes,"Email auto-forwarding (only set for ""collective invoice"")",,,
Bike,Kitzuma - US (Fedex),,Line item level ingestion (normal flow),Yes,Done,Check,Yes,Email auto-forwarding,Double check Chitwan Singh Saluja,,
Bike,MRW,,Line item level ingestion (normal flow),Yes,Done,Done,Yes,Email auto-forwarding,,,
Bike,myGermany,,Line item level ingestion (normal flow),No,Done,"Mostly shared, but double check will be needed",,Email auto-forwarding,,,
Bike,Red stag,,Line item level ingestion (normal flow),No,Shared,To be provided,TBD,Email auto-forwarding,TBD,,
Bike,Ship to Cycle - s2c (UPS),,Line item level ingestion (normal flow),Yes,Historical ingestion pending,2025 data shared,Yes,TBD,,,
Bike,UPS - US,,Line item level ingestion (normal flow),Yes,Done,Ask,Yes,Portal access,Mello will check,,
Bike,Wiechert (ABD invoice) ,,Line item level ingestion (normal flow),No,To do,,Yes,Email auto-forwarding,,,
Bike,Wiechert (customs invoice),,Line item level ingestion (normal flow),No,To do,,Yes,Email auto-forwarding,,,
Bike,Wiechert (Fedex),,Line item level ingestion (normal flow),No,To do,PDFs provided to Mello,Yes,Email auto-forwarding,,,
Bike,Wiechert (GO!),,Line item level ingestion (normal flow),No,To do,PDFs provided to Mello,Yes,Email auto-forwarding,,,
Bike parts,BRT,,Line item level ingestion (normal flow),Yes,Shared,,,Email auto-forwarding,,,
Bike parts,DHL Express,,Line item level ingestion (normal flow),Yes,Done,Yes,Yes,Portal access,Mello will check,,
Bike parts,DPD,,Line item level ingestion (normal flow),No,To do,TBD,TBD,TBD,TBD,,
Bike parts,GLS,,Line item level ingestion (normal flow),Yes,Done,Yes,Yes,Email auto-forwarding (directly from portal),,,
Bike parts,Hermes,,Line item level ingestion (normal flow),No,Not required,Not required,Not required,Not required,Not required,,
Bike parts,Poste Italiane,,Line item level ingestion (normal flow),No,To do,TBD,TBD,TBD,TBD,,
Bike parts,Sendcloud (multiple carriers mixed),,Line item level ingestion (normal flow),Yes,Done,Ask,Yes,Portal access,Mello will check,,
Bike parts,UPS US (included in bike invoices),,Line item level ingestion (normal flow),Yes,Done,Ask,Yes,Portal access,Mello will check,,
Boxes,Bikeflights - US,ignore,Not required,No,Not required,Not required,Not required,Not required,Not required,,
Boxes,Buckeye corrugated,tbd,Not required,No,Not required,Not required,Not required,Not required,Not required,,
Boxes,DS Smith,EU medium box producer (in. the future will also do XS and S (tbd)),Total + invoice number + other invoice details (show both PLN and EUR),Shared,Done,Done,Booking creation date = Invoice date,Email auto-forwarding,,,
Boxes,Easylox,"Large boxes only (does the production, storage and sends to customer) very low volume just total is enough, no shipment mapping needed",Total + invoice number + other invoice details,No,Done,Done,Booking creation date = Invoice date,Manual forwarding,,,
Boxes,Flowspace,Fulfilment + shipping to end customers to 3rd countries in EU (Medium) (wherever we dont have Hive),Include shipment level + fulfillment overall,Shared,Done,Done,TBD,Not in use anymore,,,
Boxes,Hive,"Fulfilments + shipping to end customer
(Only medium boxes,30% karamac and 70% eurosender sends the boxes to Hive)",Include shipment level + fulfillment overall,Account access provided,Done,To do,Yes,TBD,,,
Boxes,Horna,Only produces small boxes and sends to Wiechert,Total + invoice number + other invoice details,Shared,Done,Done,Booking creation date = Invoice date,TBD,,,
Boxes,Karamac,FTL trucking company (sending Medium boxes to Hive),Total + invoice number + other invoice details,Shared,Done,Done,Booking creation date = Invoice date,Email auto-forwarding,,,
Boxes,Mimas,EU medium box producer (in. the future will also do XS and S (tbd)),Total + invoice number + other invoice details (show both PLN and EUR),Shared,Done,Done,Booking creation date = Invoice date,Email auto-forwarding,,,
Boxes,Omnipack,Fulfilment + shipping to end customers to 3rd countries in EU (Medium) (wherever we dont have Hive),Include shipment level + fulfillment overall,Shared,To do,TBD,TBD,TBD,goes to invoice_logistics,,
Boxes,Prodinger,Old small box producer in EU,Total + invoice number + other invoice details,No,Not required,Not required,Not required,Not required,Not required,,
Boxes,Wiechert (DHL Packaging),"Only ships small boxes (Horna sends them to Wiechert)
Wiechert does the fulfillment + shipping to end customer",Include shipment level + fulfillment overall,No,Done,To do,Yes,Email auto-forwarding,,,
